Conference,Position,Player,Votes,Player,Media,Year
Eastern ,Guard,Dwyane Wade,2327550,,,2010-11
Eastern ,Guard,Allen Iverson,1269568,,,2010-11
Eastern ,Guard,Vince Carter,1048977,,,2010-11
Eastern ,Guard,Ray Allen,710045,,,2010-11
Eastern ,Guard,Derrick Rose,571911,,,2010-11
Eastern ,Guard,Gilbert Arenas,545860,,,2010-11
Eastern ,Guard,Joe Johnson,496255,,,2010-11
Eastern ,Guard,Rajon Rondo,425590,,,2010-11
Eastern ,Guard,José Calderón,292909,,,2010-11
Eastern ,Guard,Mike Bibby,223759,,,2010-11
Eastern ,Forward,LeBron James,2549693,,,2010-11
Eastern ,Forward,Kevin Garnett,1978116,,,2010-11
Eastern ,Forward,Chris Bosh,1164007,,,2010-11
Eastern ,Forward,Paul Pierce,525677,,,2010-11
Eastern ,Forward,Josh Smith,475671,,,2010-11
Eastern ,Forward,Andre Iguodala,313827,,,2010-11
Eastern ,Forward,Danny Granger,309808,,,2010-11
Eastern ,Forward,Rashard Lewis,302743,,,2010-11
Eastern ,Forward,Michael Beasley,277400,,,2010-11
Eastern ,Forward,Hedo Türkoğlu,213369,,,2010-11
Eastern ,C,Dwight Howard,2360096,,,2010-11
Eastern ,C,Shaquille O'Neal,856056,,,2010-11
Eastern ,C,Al Horford,270532,,,2010-11
Eastern ,C,Andrea Bargnani,265024,,,2010-11
Eastern ,C,Brook Lopez,223246,,,2010-11
Western ,Guard,Kobe Bryant,2456224,,,2010-11
Western ,Guard,Steve Nash,1222235,,,2010-11
Western ,Guard,Chris Paul,1055789,,,2010-11
Western ,Guard,Tracy McGrady,1022492,,,2010-11
Western ,Guard,Aaron Brooks,591930,,,2010-11
Western ,Guard,Jason Kidd,523708,,,2010-11
Western ,Guard,Manu Ginóbili,465211,,,2010-11
Western ,Guard,Chauncey Billups,452983,,,2010-11
Western ,Guard,Tony Parker,439536,,,2010-11
Western ,Guard,Brandon Roy,422290,,,2010-11
Western ,Guard,Carmelo Anthony,2137560,,,2010-11
Western ,Forward,Tim Duncan,1156696,,,2010-11
Western ,Forward,Dirk Nowitzki,1093005,,,2010-11
Western ,Forward,Pau Gasol,1051785,,,2010-11
Western ,Forward,Kevin Durant,870567,,,2010-11
Western ,Forward,Trevor Ariza,645937,,,2010-11
Western ,Forward,Luis Scola,580243,,,2010-11
Western ,Forward,Metta World Peace,368281,,,2010-11
Western ,Forward,Shawn Marion,363516,,,2010-11
Western ,Forward,LaMarcus Aldridge,309497,,,2010-11
Western ,C,Amar'e Stoudemire,1824093,,,2010-11
Western ,C,Andrew Bynum,981355,,,2010-11
Western ,C,Nenê,364534,,,2010-11
Western ,C,Marc Gasol,353155,,,2010-11
Western ,C,Antonio McDyess,328717,,,2010-11
Eastern ,Guard,Dwyane Wade,2048175,,,2011-12
Eastern ,Guard,Derrick Rose,1914996,,,2011-12
Eastern ,Guard,Rajon Rondo,1587297,,,2011-12
Eastern ,Guard,Ray Allen,890951,,,2011-12
Eastern ,Guard,Raymond Felton,397301,,,2011-12
Eastern ,Guard,John Wall,337368,,,2011-12
Eastern ,Guard,Gilbert Arenas,312903,,,2011-12
Eastern ,Guard,Brandon Jennings,301225,,,2011-12
Eastern ,Guard,Jamal Crawford,246130,,,2011-12
Eastern ,Guard,Joe Johnson,224571,,,2011-12
Eastern ,Forward,LeBron James,2053011,,,2011-12
Eastern ,Forward,Amar'e Stoudemire,1674995,,,2011-12
Eastern ,Forward,Kevin Garnett,1407601,,,2011-12
Eastern ,Forward,Paul Pierce,804838,,,2011-12
Eastern ,Forward,Chris Bosh,571734,,,2011-12
Eastern ,Forward,Carlos Boozer,504610,,,2011-12
Eastern ,Forward,Danilo Gallinari,390658,,,2011-12
Eastern ,Forward,Josh Smith,387843,,,2011-12
Eastern ,Forward,Luol Deng,291118,,,2011-12
Eastern ,Forward,Danny Granger,279522,,,2011-12
Eastern ,Center,Dwight Howard,2099204,,,2011-12
Eastern ,Center,Shaquille O'Neal,906284,,,2011-12
Eastern ,Center,Joakim Noah,432127,,,2011-12
Eastern ,Center,Andrew Bogut,301896,,,2011-12
Eastern ,Center,Al Horford,287083,,,2011-12
Western ,Guard,Kobe Bryant,2380016,,,2011-12
Western ,Guard,Chris Paul,1281591,,,2011-12
Western ,Guard,Manu Ginóbili,748840,,,2011-12
Western ,Guard,Steve Nash,718934,,,2011-12
Western ,Guard,Russell Westbrook,660244,,,2011-12
Western ,Guard,Deron Williams,657806,,,2011-12
Western ,Guard,Tony Parker,436958,,,2011-12
Western ,Guard,Jason Kidd,394793,,,2011-12
Western ,Guard,Monta Ellis,390237,,,2011-12
Western ,Guard,Vince Carter,353143,,,2011-12
Western ,Forward,Kevin Durant,1736728,,,2011-12
Western ,Forward,Carmelo Anthony,1299849,,,2011-12
Western ,Forward,Pau Gasol,1100772,,,2011-12
Western ,Forward,Blake Griffin,1033646,,,2011-12
Western ,Forward,Tim Duncan,839599,,,2011-12
Western ,Forward,Dirk Nowitzki,785120,,,2011-12
Western ,Forward,Lamar Odom,529854,,,2011-12
Western ,Forward,Kevin Love,492173,,,2011-12
Western ,Forward,Luis Scola,411576,,,2011-12
Western ,Forward,Rudy Gay,284021,,,2011-12
Western ,Center,Yao Ming,1146426,,,2011-12
Western ,Center,Andrew Bynum,974546,,,2011-12
Western ,Center,Nenê,599048,,,2011-12
Western ,Center,Marc Gasol,524932,,,2011-12
Western ,Center,Emeka Okafor,435218,,,2011-12
Eastern ,Guard,Derrick Rose,1514723,,,2012-13
Eastern ,Guard,Dwyane Wade,1334223,,,2012-13
Eastern ,Guard,Rajon Rondo,547110,,,2012-13
Eastern ,Guard,Ray Allen,382147,,,2012-13
Eastern ,Guard,Deron Williams,208697,,,2012-13
Eastern ,Guard,José Calderón,132167,,,2012-13
Eastern ,Guard,Richard Hamilton,111368,,,2012-13
Eastern ,Guard,John Wall,96606,,,2012-13
Eastern ,Guard,Kyrie Irving,96346,,,2012-13
Eastern ,Guard,Joe Johnson,66145,,,2012-13
Eastern ,Forward,LeBron James,1360680,,,2012-13
Eastern ,Forward,Carmelo Anthony,1041290,,,2012-13
Eastern ,Forward,Amar'e Stoudemire,383734,,,2012-13
Eastern ,Forward,Kevin Garnett,367914,,,2012-13
Eastern ,Forward,Chris Bosh,324605,,,2012-13
Eastern ,Forward,Luol Deng,276205,,,2012-13
Eastern ,Forward,Paul Pierce,215020,,,2012-13
Eastern ,Forward,Carlos Boozer,175828,,,2012-13
Eastern ,Forward,Andrea Bargnani,152362,,,2012-13
Eastern ,Forward,Josh Smith,119638,,,2012-13
Eastern ,Center,Dwight Howard,1600390,,,2012-13
Eastern ,Center,Joakim Noah,236497,,,2012-13
Eastern ,Center,Tyson Chandler,163077,,,2012-13
Eastern ,Center,Joel Anthony,101307,,,2012-13
Eastern ,Center,JaVale McGee,63765,,,2012-13
Western ,Guard,Kobe Bryant,1555479,,,2012-13
Western ,Guard,Chris Paul,1138743,,,2012-13
Western ,Guard,Ricky Rubio,397456,,,2012-13
Western ,Guard,Steve Nash,276268,,,2012-13
Western ,Guard,Russell Westbrook,262186,,,2012-13
Western ,Guard,Kyle Lowry,185584,,,2012-13
Western ,Guard,Monta Ellis,156603,,,2012-13
Western ,Guard,Chauncey Billups,120961,,,2012-13
Western ,Guard,Jason Kidd,114924,,,2012-13
Western ,Guard,Manu Ginóbili,111273,,,2012-13
Western ,Forward,Kevin Durant,1345566,,,2012-13
Western ,Forward,Blake Griffin,876451,,,2012-13
Western ,Forward,Pau Gasol,470353,,,2012-13
Western ,Forward,Dirk Nowitzki,468435,,,2012-13
Western ,Forward,Kevin Love,373880,,,2012-13
